N°,Nivel,Caso de venta,Tipo de Compra,Asiento manual,En el sistema,¿Lo soportamos? (SÍ/NO),¿Cuál es la ruta? (compras > comprobantes),Observación (Falta agregar un campo o incluirlo)
1,Fácil,"Venta de menú ejecutivo por S/ 118 al consumidor final DNI 73451289, pagada en efectivo en caja POS del local Miraflores",Venta salón / efectivo,Venta:Debe: 10 Caja POS 118.00Haber: 70 Ventas 100.00Haber: 40 IGV débito fiscal 18.00,"Debe aumentar caja del turno, emitir boleta y asociar venta a local, caja, cajero y canal Salón.",SI,PUNTO DE VENTA,
2,Fácil,"Venta de 2 pollos a la brasa por S/ 236 al consumidor final DNI 75639841, pagada con efectivo en local San Isidro",Venta salón / efectivo,Venta:Debe: 10 Caja POS 236.00Haber: 70 Ventas 200.00Haber: 40 IGV débito fiscal 36.00,Debe impactar cierre de caja y registrar productos vendidos para posterior costo de ventas.,SI,PUNTO DE VENTA,
3,Fácil,"Venta de café y postre por S/ 35.40 al consumidor final DNI 74258963, pagada con efectivo en cafetería del local San Borja",Venta rápida / efectivo,Venta:Debe: 10 Caja POS 35.40Haber: 70 Ventas 30.00Haber: 40 IGV débito fiscal 5.40,"Debe registrar ticket, mozo/cajero, producto y turno.",SI,PUNTO DE VENTA,
4,Fácil,"Venta de hamburguesa clásica por S/ 59 al consumidor final DNI 70124589, pagada con Yape en local Piura Centro",Venta salón / billetera digital,Venta:Debe: 16 Yape por liquidar / banco por conciliar 59.00Haber: 70 Ventas 50.00Haber: 40 IGV débito fiscal 9.00,No debe entrar a efectivo físico. Debe guardar código de operación Yape para conciliación.,,,
5,Fácil,"Venta de almuerzo familiar por S/ 354 al consumidor final DNI 72365412, pagada con Plin en local Surco",Venta salón / billetera digital,Venta:Debe: 16 Plin por liquidar / banco por conciliar 354.00Haber: 70 Ventas 300.00Haber: 40 IGV débito fiscal 54.00,"Debe diferenciar billetera digital de caja POS. Si lo mete como efectivo, caja muere en silencio.",,,
6,Fácil,"Venta de pizza familiar por S/ 118 al consumidor final DNI 71859632, pagada con tarjeta Visa por Izipay en local Lince",Venta tarjeta / adquirente,Venta:Debe: 16 Tarjetas por liquidar - Izipay 118.00Haber: 70 Ventas 100.00Haber: 40 IGV débito fiscal 18.00,"Debe ir a cuenta puente, no a banco directo. La liquidación llega después.",,,
7,Fácil,"Venta de parrilla personal por S/ 177 al consumidor final DNI 70984512, pagada con tarjeta Mastercard por Niubiz en local Arequipa",Venta tarjeta / adquirente,Venta:Debe: 16 Tarjetas por liquidar - Niubiz 177.00Haber: 70 Ventas 150.00Haber: 40 IGV débito fiscal 27.00,"Debe registrar adquirente, marca de tarjeta, lote POS y voucher.",,,
8,Fácil,"Venta de desayuno americano por S/ 47.20 al consumidor final DNI 75632148, pagada con efectivo en local Trujillo",Venta salón / efectivo,Venta:Debe: 10 Caja POS 47.20Haber: 70 Ventas 40.00Haber: 40 IGV débito fiscal 7.20,Debe sumarse al arqueo del turno mañana.,,,
9,Fácil,"Venta de bebida embotellada por S/ 11.80 al consumidor final DNI 74589631, pagada en efectivo en barra del local Miraflores",Venta mercadería / efectivo,Venta:Debe: 10 Caja POS 11.80Haber: 70 Ventas 10.00Haber: 40 IGV débito fiscal 1.80,Debe descargar stock de mercadería si la bebida está inventariada.,,,
10,Fácil,"Venta de menú del día exonerado por S/ 20 al consumidor final DNI 73214598, en comedor concesionario sin IGV",Venta exonerada,Venta exonerada:Debe: 10 Caja POS 20.00Haber: 70 Ventas exoneradas 20.00,No debe generar IGV débito fiscal. El tipo de afectación tributaria manda.,,,
11,Medio,"Venta de cena para 4 personas por S/ 590 al consumidor final DNI 70258963, pagada con tarjeta Visa por Izipay en local Miraflores",Venta tarjeta + liquidación posterior,Venta:Debe: 16 Tarjetas por liquidar - Izipay 590.00Haber: 70 Ventas 500.00Haber: 40 IGV débito fiscal 90.00,Debe esperar liquidación del adquirente. Venta bruta no es igual a depósito neto.,,,
12,Medio,Liquidación Izipay de venta por S/ 590 con comisión total S/ 17.70 y depósito neto S/ 572.30 en cuenta BCP,Liquidación tarjeta,Liquidación:Debe: 10 Banco BCP 572.30Debe: 63 Comisión adquirente 15.00Debe: 40 IGV crédito fiscal comisión 2.70Haber: 16 Tarjetas por liquidar - Izipay 590.00,"Debe cruzar venta POS, voucher, lote Izipay y depósito bancario. El PDF recalca que no se debe registrar solo lo neto.",,,
13,Medio,"Venta de almuerzo corporativo por S/ 2,360 a Constructora Norte SAC, RUC 20607894512, con factura al crédito a 15 días",Factura crédito / CxC,"Devengo:Debe: 12 Cuentas por cobrar clientes 2,360.00Haber: 70 Ventas 2,000.00Haber: 40 IGV débito fiscal 360.00","Debe crear CxC con cliente, RUC, vencimiento, documento y centro de costo Catering.",,,
14,Medio,"Cobro por transferencia de factura F001-458 por S/ 2,360 a Constructora Norte SAC, RUC 20607894512",Cobro CxC,"Cobro:Debe: 10 Banco 2,360.00Haber: 12 Cuentas por cobrar clientes 2,360.00",Debe aplicar el cobro a la factura correcta y dejar saldo pendiente en cero.,,,
15,Medio,"Venta de catering para evento por S/ 5,900 a Minera Sol del Norte SAC, RUC 20563258741, con factura al crédito a 30 días",Catering / factura crédito,"Venta:Debe: 12 CxC clientes 5,900.00Haber: 70 Ventas catering 5,000.00Haber: 40 IGV débito fiscal 900.00","Debe permitir canal Catering, cliente corporativo, fecha de servicio y vencimiento de pago.",,,
