N°,Nivel,Caso específico,Evento exacto del sistema,¿Inyecta stock?,Condición de pago / momento del dinero,Tipo de compra,Asiento manual,En el sistema,¿Lo soportamos? (SÍ/NO/PARCIAL),¿Cuál es la ruta? (compras > comprobantes),Observación (Falta agregar un campo o incluirlo)
1,Fácil,"Registro de factura F001-4589 por compra de carnes por S/ 1,180 a Carnes Premium SAC, RUC 20604578912, para almacén Miraflores",Registro de factura con recepción inmediata,Sí,"Se pagará en el futuro. Crea CxP por S/ 1,180 al proveedor.",Inventario / materia prima,"Debe: 20/24 Materias primas 1,000Debe: 40 IGV crédito fiscal 180Haber: 42 Proveedores 1,180 ","Crea factura, CxP e ingreso de stock. No mueve banco/caja.",SI,ALMACEN-MAESTRO DE PRODUCTOS-> COMPRAS-REGISTRO DE FACTURA -> ALMACEN -ALMACENAMIENTO DE MERCADERIA - FINANZAS->CUENTAS POR PAGAR ,
2,Fácil,"Pago por transferencia de factura F001-4589 por S/ 1,180 a Carnes Premium SAC",Pago de CxP registrada,No,"Se paga en ese momento. Sale banco por S/ 1,180.",Pago a proveedor,"Debe: 42 Proveedores 1,180Haber: 10 Banco 1,180",Cancela deuda. No vuelve a registrar compra ni stock.,SI,Finanzas > Cartera de Pagos > Elegir la factura > Llenar campos > Guarda ] Contabilidad > Reporte de Libros > Libro Diario > Revisión de factura,Mejorar la interfaz (cabeceras) del reporte de Libro Diario
3,Fácil,"Registro de factura F002-7781 por compra de pollo entero por S/ 2,360 a Avícola Santa Rosa SAC, RUC 20518965432",Factura + recepción de stock,Sí,Se pagará en el futuro. Crédito a 7 días.,Inventario / materia prima,"Debe: 20/24 Materias primas 2,000Debe: 40 IGV crédito fiscal 360Haber: 42 Proveedores 2,360",Entra stock y queda CxP con fecha de vencimiento.,PARCIAL,CAJA CHICA->RENDICION DE GASTOS,FALTA INTERFAZ DE CAJA CHICA
4,Fácil,"Compra urgente de verduras frescas por S/ 354 a Agroverduras del Valle EIRL, RUC 10458796321, pagada con caja POS",Compra directa con caja,Sí,Se paga en ese momento. Sale efectivo de caja POS.,Caja POS / compra urgente,Debe: 20/24 Insumos 300Debe: 40 IGV crédito fiscal 54Haber: 10 Caja POS 354,Mueve stock y caja en el mismo evento.,PARCIAL,CAJA CHICA->RENDICION DE GASTOS,FALTA INTERFAZ DE CAJA CHICA
5,Fácil,Retiro de S/ 354 de caja POS por el cajero Luis Ramos para compra urgente de verduras,Entrega de dinero a rendir,No,"Se paga en ese momento al trabajador, pero todavía no al proveedor en contabilidad.",Entrega a rendir,Debe: 14/16 Entregas a rendir 354Haber: 10 Caja POS 354,No es compra aún. Solo dinero entregado a responsable.,PARCIAL,CAJA CHICA->RENDICION DE GASTOS,FALTA INTERFAZ DE CAJA CHICA
6,Fácil,Rendición de compra urgente de verduras por S/ 354 con factura de Agroverduras del Valle EIRL,Rendición con comprobante,Sí,Ya fue pagado antes. Se aplica contra entrega a rendir.,Rendición + stock,Debe: 20/24 Insumos 300Debe: 40 IGV crédito fiscal 54Haber: 14/16 Entregas a rendir 354,Cierra la rendición y registra compra real.,SI,FINANZAS-RENDICION DE CUENTAS,
7,Fácil,"Compra urgente de hielo por S/ 118 a Hielos Norte SAC, RUC 20607894561, pagada por cajero turno noche",Compra directa desde caja,Opcional,Se paga en ese momento. Sale efectivo de caja.,Gasto operativo / insumo,Debe: 63 Gasto cocina 100Debe: 40 IGV crédito fiscal 18Haber: 10 Caja POS 118,"Si se consume inmediato, va a gasto; si se controla, va a stock.",PARCIAL,CAJA CHICA->RENDICION DE GASTOS,FALTA INTERFAZ DE CAJA CHICA
8,Fácil,Compra de cebolla y tomate por S/ 80 en mercado local sin comprobante válido,Registro de gasto sin sustento,Opcional,Se paga en ese momento. Sale caja.,Gasto no sustentado,Debe: 65 Gasto no sustentado 80Haber: 10 Caja POS 80,No genera IGV crédito fiscal.,PARCIAL,CAJA CHICA->RENDICION DE GASTOS,FALTA INTERFAZ DE CAJA CHICA
9,Fácil,Factura F003-1022 por compra de gaseosas para reventa por S/ 708 a Distribuidora Bebidas Perú SAC,Factura + ingreso de mercadería,Sí,Se pagará en el futuro. Crédito a 15 días.,Mercadería para reventa,Debe: 20 Mercaderías 600Debe: 40 IGV crédito fiscal 108Haber: 42 Proveedores 708,Entra stock de reventa y CxP.,SI,"ALMACEN-MAESTRO DE PRODUCTOS-> COMPRAS-REGISTRO DE FACTURA -> ALMACEN-ALMACENAMIENTO DE MERCADERIA 
FINANZAS-CUENTAS POR PAGAR",
10,Fácil,"Pago parcial de S/ 400 de factura F003-1022 a Distribuidora Bebidas Perú SAC, saldo S/ 308",Pago parcial de CxP,No,Se paga una parte ahora. S/ 400 hoy; S/ 308 queda pendiente.,Pago parcial,Debe: 42 Proveedores 400Haber: 10 Banco 400,Factura queda parcialmente pagada.,PARCIAL,FINANZAS-CUENTAS POR PAGAR,NOS FALTA EL PAGO PARCIAL
11,Fácil,"Factura F001-2190 por café en grano por S/ 472 a Café Andino SAC, RUC 20569874125",Factura + stock,Sí,Se pagará en el futuro. CxP a 10 días.,Materia prima,Debe: 24 Materias primas 400Debe: 40 IGV crédito fiscal 72Haber: 42 Proveedores 472,Entra al kárdex de café.,SI,"ALMACEN-MAESTRO DE PRODUCTOS-> COMPRAS-REGISTRO DE FACTURA -> ALMACEN-ALMACENAMIENTO DE MERCADERIA 
FINANZAS-CUENTAS POR PAGAR",
